om	http://lexvo.org/id/iso639-3/orm
or	http://lexvo.org/id/iso639-3/ori
os	http://lexvo.org/id/iso639-3/oss
pa	http://lexvo.org/id/iso639-3/pan
pi	http://lexvo.org/id/iso639-3/pli
pl	http://lexvo.org/id/iso639-3/pol
ps	http://lexvo.org/id/iso639-3/pus
pt	http://lexvo.org/id/iso639-3/por
qu	http://lexvo.org/id/iso639-3/que
rm	http://lexvo.org/id/iso639-3/roh
rn	http://lexvo.org/id/iso639-3/run
ro	http://lexvo.org/id/iso639-3/ron
ru	http://lexvo.org/id/iso639-3/rus
rw	http://lexvo.org/id/iso639-3/kin
sa	http://lexvo.org/id/iso639-3/san
sc	http://lexvo.org/id/iso639-3/srd
sd	http://lexvo.org/id/iso639-3/snd
se	http://lexvo.org/id/iso639-3/sme
sg	http://lexvo.org/id/iso639-3/sag
sh	http://lexvo.org/id/iso639-3/hbs
si	http://lexvo.org/id/iso639-3/sin
sk	http://lexvo.org/id/iso639-3/slk
sl	http://lexvo.org/id/iso639-3/slv
sm	http://lexvo.org/id/iso639-3/smo
sn	http://lexvo.org/id/iso639-3/sna
so	http://lexvo.org/id/iso639-3/som
sq	http://lexvo.org/id/iso639-3/sqi
sr	http://lexvo.org/id/iso639-3/srp
ss	http://lexvo.org/id/iso639-3/ssw
st	http://lexvo.org/id/iso639-3/sot
su	http://lexvo.org/id/iso639-3/sun
sv	http://lexvo.org/id/iso639-3/swe
sw	http://lexvo.org/id/iso639-3/swa
ta	http://lexvo.org/id/iso639-3/tam
te	http://lexvo.org/id/iso639-3/tel
tg	http://lexvo.org/id/iso639-3/tgk
th	http://lexvo.org/id/iso639-3/tha
ti	http://lexvo.org/id/iso639-3/tir
tk	http://lexvo.org/id/iso639-3/tuk
tl	http://lexvo.org/id/iso639-3/tgl
tn	http://lexvo.org/id/iso639-3/tsn
to	http://lexvo.org/id/iso639-3/ton
tr	http://lexvo.org/id/iso639-3/tur
ts	http://lexvo.org/id/iso639-3/tso
tt	http://lexvo.org/id/iso639-3/tat
tw	http://lexvo.org/id/iso639-3/twi
ty	http://lexvo.org/id/iso639-3/tah
ug	http://lexvo.org/id/iso639-3/uig
uk	http://lexvo.org/id/iso639-3/ukr
ur	http://lexvo.org/id/iso639-3/urd
uz	http://lexvo.org/id/iso639-3/uzb
ve	http://lexvo.org/id/iso639-3/ven
vi	http://lexvo.org/id/iso639-3/vie
vo	http://lexvo.org/id/iso639-3/vol
wa	http://lexvo.org/id/iso639-3/wln
wo	http://lexvo.org/id/iso639-3/wol
xh	http://lexvo.org/id/iso639-3/xho
yi	http://lexvo.org/id/iso639-3/yid
yo	http://lexvo.org/id/iso639-3/yor
za	http://lexvo.org/id/iso639-3/zha
zh	http://lexvo.org/id/iso639-3/zho
zu	http://lexvo.org/id/iso639-3/zul
